ancienne_url;titre;date;clics_12m;impressions_12m;classe;cible;cible_existe;confiance;preuve
/actualites/video-immersive-360/;Vidéo immersive 360°;2014-02-01;9;3145;ARTICLE — reste une actualité;;;sûr;La technologie 360 chez Bluevista. Lien sortant = insta360.com, un fournisseur.
/actualites/bluevista-video-showreel-2023/;Bluevista vidéo Showreel 2023;2023-11-13;5;2392;ARTICLE — reste une actualité;;;sûr;Showreel annuel de l’agence.
/actualites/carte-de-voeux-video/;Carte de voeux vidéo;2018-11-26;4;2339;ARTICLE — reste une actualité;;;sûr;Argumentaire saisonnier. Aucun client. ⭐ 2 339 impressions/an.
/actualites/bluevista-le-motion-design/;bluevista – Le motion design, c’est quoi ?;2024-03-05;2;277;ARTICLE — reste une actualité;;;sûr;« Le motion design, c’est quoi ? » — définition.
/actualites/projet-de-realisation-video-360/;Projet de réalisation vidéo 360;2014-04-05;2;255;ARTICLE — reste une actualité;;;à confirmer;Un essai drone 360 en interne. ⚠️ Liens vers edf.fr et airlibreprod.com : EDF est-il le client ?
/actualites/show-reel-motion-design/;Show reel Motion Design;2018-11-29;0;214;ARTICLE — reste une actualité;;;sûr;Showreel + argumentaire motion design.
/actualites/bluevista-video-showreel-2020/;Bluevista vidéo Showreel 2020;2020-02-18;0;99;ARTICLE — reste une actualité;;;sûr;Showreel annuel de l’agence.
/actualites/bluevista-video-showreel-2021/;Bluevista vidéo Showreel 2021;2021-02-18;1;90;ARTICLE — reste une actualité;;;sûr;Showreel annuel de l’agence.
/actualites/nos-dernieres-interviews/;Nos dernières interviews;2018-12-17;0;77;ARTICLE — reste une actualité;;;sûr;Argumentaire interview vidéo.
/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;GETLIVE TV 3.0 – La web TV selon Bluevista;2014-04-04;0;39;ARTICLE — reste une actualité;;;sûr;Notre propre système de web TV.
/actualites/decouvrez-notre-nouvelle-bande-demo-3d/;Découvrez notre nouvelle bande démo 3D;2018-12-12;0;28;ARTICLE — reste une actualité;;;sûr;Notre showreel 3D.
/actualites/blueverse/;Le Métaverse bluevista : le blueverse;2024-01-15;1;21;ARTICLE — reste une actualité;;;sûr;Le metaverse Bluevista — une offre maison, pas une commande.
/actualites/nouveau-materiel-motion-control-kessler/;Nouveau matériel – Motion control Kessler;2015-05-04;0;21;ARTICLE — reste une actualité;;;sûr;Arrivée d’un matériel.
/actualites/realisation-de-film-dentreprise-ou-corporate/;Réalisation de film d’entreprise ou corporate;2018-11-20;0;19;ARTICLE — reste une actualité;;;sûr;Argumentaire « pourquoi un film plutôt qu’un PowerPoint ». Aucun client.
/actualites/streaming-live-et-webtv-demo-2018/;Streaming Live et WebTV démo 2018;2018-12-20;0;13;ARTICLE — reste une actualité;;;sûr;Argumentaire streaming et webTV.
/actualites/un-motion-design-a-lancienne-making-of/;Un motion design « à l’ancienne » – Making of;2014-07-19;0;8;ARTICLE — reste une actualité;;;à confirmer;Making of de vidéos pédagogiques qualité/sécurité. ⚠️ Client non nommé dans le texte.
